Metabolite name	Metabolite name	Metabolite description	Charged Metabolite formula	Metabolite charge	Metabolite Compartment	Metabolite KeggID	Metabolite PubChemID	Metabolite CheBI ID
10fthf[c]	10fthf	10-Formyltetrahydrofolate	C20H21N7O7	-2	cytoplasm	C00234	3533	15637
12dgr120[c]	12dgr120	1-2-Diacyl-sn-glycerol-didodecanoyl-n-C120	C27H52O5	0	cytoplasm	C00641	3914	17815
12dgr120[p]	12dgr120	1-2-Diacyl-sn-glycerol-didodecanoyl-n-C120	C27H52O5	0	periplasm	C00641	3914	17815
12dgr140[c]	12dgr140	1-2-Diacyl-sn-glycerol-ditetradecanoyl-n-C140	C31H60O5	0	cytoplasm	C00641	3914	17815
12dgr140[p]	12dgr140	1-2-Diacyl-sn-glycerol-ditetradecanoyl-n-C140	C31H60O5	0	periplasm	C00641	3914	17815
12dgr141[c]	12dgr141	1-2-Diacyl-sn-glycerol-ditetradec-7-enoyl-n-C141	C31H56O5	0	cytoplasm	C00641	3914	17815
12dgr141[p]	12dgr141	1-2-Diacyl-sn-glycerol-ditetradec-7-enoyl-n-C141	C31H56O5	0	periplasm	C00641	3914	17815
12dgr160[c]	12dgr160	1-2-Diacyl-sn-glycerol-dihexadecanoyl-n-C160	C35H68O5	0	cytoplasm	C00641	3914	17815
12dgr160[p]	12dgr160	1-2-Diacyl-sn-glycerol-dihexadecanoyl-n-C160	C35H68O5	0	periplasm	C00641	3914	17815
12dgr161[c]	12dgr161	1-2-Diacyl-sn-glycerol-dihexadec-9-enoyl-n-C161	C35H64O5	0	cytoplasm	C00641	3914	17815
12dgr161[p]	12dgr161	1-2-Diacyl-sn-glycerol-dihexadec-9-enoyl-n-C161	C35H64O5	0	periplasm	C00641	3914	17815
12dgr180[c]	12dgr180	1-2-Diacyl-sn-glycerol-dioctadecanoyl-n-C180	C39H76O5	0	cytoplasm	C00641	3914	17815
12dgr180[p]	12dgr180	1-2-Diacyl-sn-glycerol-dioctadecanoyl-n-C180	C39H76O5	0	periplasm	C00641	3914	17815
12dgr181[c]	12dgr181	1-2-Diacyl-sn-glycerol-dioctadec-11-enoyl-n-C181	C39H72O5	0	cytoplasm	C00641	3914	17815
12dgr181[p]	12dgr181	1-2-Diacyl-sn-glycerol-dioctadec-11-enoyl-n-C181	C39H72O5	0	periplasm	C00641	3914	17815
12ppd-R[c]	12ppd-R	R-Propane-1-2-diol	C3H8O2	0	cytoplasm	C02912	5836	28972
12ppd-R[e]	12ppd-R	R-Propane-1-2-diol	C3H8O2	0	extra-organism	C02912	5836	28972
12ppd-R[p]	12ppd-R	R-Propane-1-2-diol	C3H8O2	0	periplasm	C02912	5836	28972
12ppd-S[c]	12ppd-S	S-Propane-1-2-diol	C3H8O2	0	cytoplasm	C02917	5840	29002
12ppd-S[e]	12ppd-S	S-Propane-1-2-diol	C3H8O2	0	extra-organism	C02917	5840	29002
12ppd-S[p]	12ppd-S	S-Propane-1-2-diol	C3H8O2	0	periplasm	C02917	5840	29002
13dpg[c]	13dpg	3-Phospho-D-glyceroyl-phosphate	C3H4O10P2	-4	cytoplasm	C00236	3535	16001
14glucan[c]	14glucan	1-4-alpha-D-glucan	C36H62O31	0	cytoplasm	C00912		
14glucan[e]	14glucan	1-4-alpha-D-glucan	C36H62O31	0	extra-organism	C00912		
14glucan[p]	14glucan	1-4-alpha-D-glucan	C36H62O31	0	periplasm	C00912		
15dap[c]	15dap	1-5-Diaminopentane	C5H16N2	2	cytoplasm	C01672	4816	18127
15dap[e]	15dap	1-5-Diaminopentane	C5H16N2	2	extra-organism	C01672	4816	18127
15dap[p]	15dap	1-5-Diaminopentane	C5H16N2	2	periplasm	C01672	4816	18127
1agpe120[p]	1agpe120	1-Acyl-sn-glycero-3-phosphoethanolamine-n-C120	C17H36NO7P1	0	periplasm	C04438	7069	
1agpe140[p]	1agpe140	1-Acyl-sn-glycero-3-phosphoethanolamine-n-C140	C19H40NO7P1	0	periplasm	C04438	7069	
1agpe141[p]	1agpe141	1-Acyl-sn-glycero-3-phosphoethanolamine-n-C141	C19H38NO7P1	0	periplasm	C04438	7069	
1agpe160[p]	1agpe160	1-Acyl-sn-glycero-3-phosphoethanolamine-n-C160	C21H44NO7P1	0	periplasm	C04438	7069	
1agpe161[p]	1agpe161	1-Acyl-sn-glycero-3-phosphoethanolamine-n-C161	C21H42NO7P1	0	periplasm	C04438	7069	
1agpe180[p]	1agpe180	1-Acyl-sn-glycero-3-phosphoethanolamine-n-C180	C23H48NO7P1	0	periplasm	C04438	7069	
1agpe181[p]	1agpe181	1-Acyl-sn-glycero-3-phosphoethanolamine-n-C181	C23H46NO7P1	0	periplasm	C04438	7069	
1agpg120[p]	1agpg120	1-Acyl-sn-glycero-3-phosphoglycerol-n-C120	C18H36O9P1	-1	periplasm			
1agpg140[p]	1agpg140	1-Acyl-sn-glycero-3-phosphoglycerol-n-C140	C20H40O9P1	-1	periplasm			
1agpg141[p]	1agpg141	1-Acyl-sn-glycero-3-phosphoglycerol-n-C141	C20H38O9P1	-1	periplasm			
1agpg160[p]	1agpg160	1-Acyl-sn-glycero-3-phosphoglycerol-n-C160	C22H44O9P1	-1	periplasm			
1agpg161[p]	1agpg161	1-Acyl-sn-glycero-3-phosphoglycerol-n-C161	C22H42O9P1	-1	periplasm			
1agpg180[p]	1agpg180	1-Acyl-sn-glycero-3-phosphoglycerol-n-C180	C24H48O9P1	-1	periplasm			
1agpg181[p]	1agpg181	1-Acyl-sn-glycero-3-phosphoglycerol-n-C181	C24H46O9P1	-1	periplasm			
1ddecg3p[c]	1ddecg3p	1-dodecanoyl-sn-glycerol-3-phosphate	C15H29O7P1	-2	cytoplasm	C00681	3950	16975
1ddecg3p[p]	1ddecg3p	1-dodecanoyl-sn-glycerol-3-phosphate	C15H29O7P1	-2	periplasm	C00681	3950	16975
1hdec9eg3p[c]	1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol-3-phosphate	C19H35O7P1	-2	cytoplasm			
1hdec9eg3p[p]	1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol-3-phosphate	C19H35O7P1	-2	periplasm			
1hdecg3p[c]	1hdecg3p	1-hexadecanoyl-sn-glycerol-3-phosphate	C19H37O7P1	-2	cytoplasm	C00681	3950	16975
1hdecg3p[p]	1hdecg3p	1-hexadecanoyl-sn-glycerol-3-phosphate	C19H37O7P1	-2	periplasm	C00681	3950	16975
1odec11eg3p[c]	1odec11eg3p	1-octadec-11-enoyl-sn-glycerol-3-phosphate	C21H39O7P1	-2	cytoplasm			
1odec11eg3p[p]	1odec11eg3p	1-octadec-11-enoyl-sn-glycerol-3-phosphate	C21H39O7P1	-2	periplasm			
1odecg3p[c]	1odecg3p	1-octadecanoyl-sn-glycerol-3-phosphate	C21H41O7P1	-2	cytoplasm	C00681	3950	16975
1odecg3p[p]	1odecg3p	1-octadecanoyl-sn-glycerol-3-phosphate	C21H41O7P1	-2	periplasm	C00681	3950	16975
1pyr5c[c]	1pyr5c	1-Pyrroline-5-carboxylate	C5H6NO2	-1	cytoplasm	C03912	6642	371
1tdec7eg3p[c]	1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol-3-phosphate	C17H31O7P1	-2	cytoplasm	C00681	3950	16975
1tdec7eg3p[p]	1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol-3-phosphate	C17H31O7P1	-2	periplasm	C00681	3950	16975
1tdecg3p[c]	1tdecg3p	1-tetradecanoyl-sn-glycerol-3-phosphate	C17H33O7P1	-2	cytoplasm	C00681	3950	16975
1tdecg3p[p]	1tdecg3p	1-tetradecanoyl-sn-glycerol-3-phosphate	C17H33O7P1	-2	periplasm	C00681	3950	16975
23camp[e]	23camp	2-3-Cyclic-AMP	C10H11N5O6P	-1	extra-organism	C02353	5400	
23camp[p]	23camp	2-3-Cyclic-AMP	C10H11N5O6P	-1	periplasm	C02353	5400	
23ccmp[e]	23ccmp	2-3-Cyclic-CMP	C9H11N3O7P	-1	extra-organism	C02354	5401	
23ccmp[p]	23ccmp	2-3-Cyclic-CMP	C9H11N3O7P	-1	periplasm	C02354	5401	
23cgmp[e]	23cgmp	2-3-Cyclic-GMP	C10H11N5O7P	-1	extra-organism	C06194	8444	
23cgmp[p]	23cgmp	2-3-Cyclic-GMP	C10H11N5O7P	-1	periplasm	C06194	8444	
23cump[e]	23cump	2-3-Cyclic-UMP	C9H10N2O8P	-1	extra-organism	C02355	5402	
23cump[p]	23cump	2-3-Cyclic-UMP	C9H10N2O8P	-1	periplasm	C02355	5402	
23dappa[c]	23dappa	2-3-diaminopropionate	C3H9N2O2	1	cytoplasm	C06393	8629	18383
23dappa[e]	23dappa	2-3-diaminopropionate	C3H9N2O2	1	extra-organism	C06393	8629	18383
23dappa[p]	23dappa	2-3-diaminopropionate	C3H9N2O2	1	periplasm	C06393	8629	18383
23ddhb[c]	23ddhb	2-3-Dihydro-2-3-dihydroxybenzoate	C7H7O4	-1	cytoplasm	C04171	6852	15941
23dhb[c]	23dhb	2-3-Dihydroxybenzoate	C7H5O4	-1	cytoplasm	C00196	3496	18026
23dhba[c]	23dhba	2-3-Dihydroxybenzoyl-adenylate	C17H17N5O10P	-1	cytoplasm	C04030	6734	
23dhbzs[c]	23dhbzs	2-3-dihydroxybenzoylserine	C10H11NO6	-1	cytoplasm	C04204		
23dhdp[c]	23dhdp	2-3-Dihydrodipicolinate	C7H5NO4	-2	cytoplasm	C03340	6183	18042
23dhmb[c]	23dhmb	R-2-3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	cytoplasm	C04272	6935	 15684 49072
23dhmp[c]	23dhmp	R-2-3-Dihydroxy-3-methylpentanoate	C6H11O4	-1	cytoplasm	C06007	8280	 27512 49258
23doguln[c]	23doguln	2-3-Dioxo-L-gulonate	C6H7O7	-1	cytoplasm	C04575	7176	15622
