Rxn name	Rxn description	Formula	Gene-reaction association	Genes	Subsystem	Reversible	LB	UB
12DGR120tipp	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C120 	12dgr120[p] --> 12dgr120[c] 			Transport Inner Membrane	0	0	1000
12DGR140tipp	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C140 	12dgr140[p] --> 12dgr140[c] 			Transport Inner Membrane	0	0	1000
12DGR141tipp	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C141 	12dgr141[p] --> 12dgr141[c] 			Transport Inner Membrane	0	0	1000
12DGR160tipp	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C160 	12dgr160[p] --> 12dgr160[c] 			Transport Inner Membrane	0	0	1000
12DGR161tipp	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C161 	12dgr161[p] --> 12dgr161[c] 			Transport Inner Membrane	0	0	1000
12DGR180tipp	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C180 	12dgr180[p] --> 12dgr180[c] 			Transport Inner Membrane	0	0	1000
12DGR181tipp	1 2 diacylglycerol transport via flipping periplasm to cytoplasm n C181 	12dgr181[p] --> 12dgr181[c] 			Transport Inner Membrane	0	0	1000
12dgr2_ST	membrane 1-2-diacylglycerol composition based on http://www.biomedcentral.com/1752-0509/3/38	14 12dgr140[p] + 76 12dgr160[p] + 4 12dgr161[p] + 2 12dgr180[p] + 3 12dgr181[p] <=> 2 12dgr2-ST[p] 			Phospholipid Metabolism	1	-1000	1000
12PPDRDH	 R Propane 1 2 diol dehydratase	12ppd-R[c] --> h2o[c] + ppal[c] 	( STM2040 and STM2041 and STM2042 and STM2043 and STM2044)	STM2040 STM2041 STM2042 STM2043 STM2044	1 2 Propanediol Catabolism	0	0	1000
12PPDRtex	 R Propane 1 2 diol transport via diffusion extracellular to periplasm 	12ppd-R[e] <=> 12ppd-R[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
12PPDRtpp	 R Propane 1 2 diol facilitated transport periplasm 	12ppd-R[p] <=> 12ppd-R[c] 	STM2037	STM2037	Transport Inner Membrane	1	-1000	1000
12PPDS2tpp	 S Propane 1 2 diol facilitated transport 2 periplasm 	12ppd-S[p] <=> 12ppd-S[c] 	STM2037	STM2037	Transport Inner Membrane	1	-1000	1000
12PPDSDH	 S Propane 1 2 diol dehydratase	12ppd-S[c] --> h2o[c] + ppal[c] 	( STM2040 and STM2041 and STM2042 and STM2043 and STM2044)	STM2040 STM2041 STM2042 STM2043 STM2044	1 2 Propanediol Catabolism	0	0	1000
12PPDStex	 S Propane 1 2 diol transport via diffusion extracellular to periplasm 	12ppd-S[e] <=> 12ppd-S[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
12PPDStpp	 S Propane 1 2 diol facilitated transport periplasm 	12ppd-S[p] <=> 12ppd-S[c] 	STM2037	STM2037	Transport Inner Membrane	1	-1000	1000
14GLUCANabcpp	1 4 alpha D glucan transport via ABC system periplasm 	14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c] 	( STM4229  and  STM4228  and  STM4227  and  STM4230 )	STM4227 STM4228 STM4229 STM4230	Transport Inner Membrane	0	0	1000
14GLUCANtexi	1 4 alpha D glucan transport via diffusion extracellular to periplasm irreversible	14glucan[e] --> 14glucan[p] 	STM4231	STM4231	Transport Outer Membrane	0	0	1000
23CAMPtex	23cAMP transport via diffusion extracellular to periplasm 	23camp[e] <=> 23camp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
23CCMPtex	23cCMP transport via diffusion extracellular to periplasm 	23ccmp[e] <=> 23ccmp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
23CGMPtex	23cGMP transport via diffusion extracellular to periplasm 	23cgmp[e] <=> 23cgmp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
23CUMPtex	23cUMP transport via diffusion extracellular to periplasm 	23cump[e] <=> 23cump[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
23DAPPAt2pp	2 3 diaminopropionate transport in via proton symport	23dappa[p] + h[p] --> 23dappa[c] + h[c] 			Transport Inner Membrane	0	0	1000
23DAPPAtex	2 3 diaminopropionate transport via diffusion	23dappa[e] <=> 23dappa[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
23PDE2pp	2 3 cyclic nucleotide phosphodiesterase UMP  periplasm 	23cump[p] + h2o[p] --> 3ump[p] + h[p] 	STM4403	STM4403	Nucleotide Salvage Pathway	0	0	1000
23PDE4pp	2 3 cyclic nucleotide phosphodiesterase CMP  periplasm 	23ccmp[p] + h2o[p] --> 3cmp[p] + h[p] 	STM4403	STM4403	Nucleotide Salvage Pathway	0	0	1000
23PDE7pp	2 3 cyclic nucleotide phosphodiesterase AMP  periplasm 	23camp[p] + h2o[p] --> 3amp[p] + h[p] 	STM4403	STM4403	Nucleotide Salvage Pathway	0	0	1000
23PDE9pp	2 3 cyclic nucleotide phosphodiesterase GMP  periplasm 	23cgmp[p] + h2o[p] --> 3gmp[p] + h[p] 	STM4403	STM4403	Nucleotide Salvage Pathway	0	0	1000
26DAHtex	meso 2 6 Diaminoheptanedioate transport via diffusion extracellular to periplasm 	26dap-M[e] <=> 26dap-M[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
2AGPA120tipp	2 Acyl sn glycero 3 phosphatidate n C120 transporter via facilitated diffusion periplasm 	2ddecg3p[p] --> 2ddecg3p[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPA140tipp	2 Acyl sn glycero 3 phosphatidate n C140 transporter via facilitated diffusion periplasm 	2tdecg3p[p] --> 2tdecg3p[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPA141tipp	2 Acyl sn glycero 3 phosphatidate n C141 transporter via facilitated diffusion periplasm 	2tdec7eg3p[p] --> 2tdec7eg3p[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPA160tipp	2 Acyl sn glycero 3 phosphatidate n C160 transporter via facilitated diffusion periplasm 	2hdecg3p[p] --> 2hdecg3p[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPA161tipp	2 Acyl sn glycero 3 phosphatidate n C161 transporter via facilitated diffusion periplasm 	2hdec9eg3p[p] --> 2hdec9eg3p[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPA180tipp	2 Acyl sn glycero 3 phosphatidate n C180 transporter via facilitated diffusion periplasm 	2odecg3p[p] --> 2odecg3p[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPA181tipp	2 Acyl sn glycero 3 phosphatidate n C181 transporter via facilitated diffusion periplasm 	2odec11eg3p[p] --> 2odec11eg3p[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPE120tipp	2 Acyl sn glycero 3 phosphoethanolamine n C120 transporter via facilitated diffusion periplasm 	2agpe120[p] --> 2agpe120[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPE140tipp	2 Acyl sn glycero 3 phosphoethanolamine n C140 transporter via facilitated diffusion periplasm 	2agpe140[p] --> 2agpe140[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPE141tipp	2 Acyl sn glycero 3 phosphoethanolamine n C141 transporter via facilitated diffusion periplasm 	2agpe141[p] --> 2agpe141[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPE160tipp	2 Acyl sn glycero 3 phosphoethanolamine n C160 transporter via facilitated diffusion periplasm 	2agpe160[p] --> 2agpe160[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPE161tipp	2 Acyl sn glycero 3 phosphoethanolamine n C161 transporter via facilitated diffusion periplasm 	2agpe161[p] --> 2agpe161[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPE180tipp	2 Acyl sn glycero 3 phosphoethanolamine n C180 transporter via facilitated diffusion periplasm 	2agpe180[p] --> 2agpe180[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPE181tipp	2 Acyl sn glycero 3 phosphoethanolamine n C181 transporter via facilitated diffusion periplasm 	2agpe181[p] --> 2agpe181[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPEAT120	2 acyl glycerophospho ethanolamine acyltransferase n C120 	2agpe120[c] + atp[c] + ddca[c] --> amp[c] + pe120[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPEAT140	2 acyl glycerophospho ethanolamine acyltransferase n C140 	2agpe140[c] + atp[c] + ttdca[c] --> amp[c] + pe140[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPEAT141	2 acyl glycerophospho ethanolamine acyltransferase n C141 	2agpe141[c] + atp[c] + ttdcea[c] --> amp[c] + pe141[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPEAT160	2 acyl glycerophospho ethanolamine acyltransferase n C160 	2agpe160[c] + atp[c] + hdca[c] --> amp[c] + pe160[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPEAT161	2 acyl glycerophospho ethanolamine acyltransferase n C161 	2agpe161[c] + atp[c] + hdcea[c] --> amp[c] + pe161[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPEAT180	2 acyl glycerophospho ethanolamine acyltransferase n C180 	2agpe180[c] + atp[c] + ocdca[c] --> amp[c] + pe180[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPEAT181	2 acyl glycerophospho ethanolamine acyltransferase n C181 	2agpe181[c] + atp[c] + ocdcea[c] --> amp[c] + pe181[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPG120tipp	2 Acyl sn glycero 3 phosphoglycerol n C120 transporter via facilitated diffusion periplasm 	2agpg120[p] --> 2agpg120[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPG140tipp	2 Acyl sn glycero 3 phosphoglycerol n C140 transporter via facilitated diffusion periplasm 	2agpg140[p] --> 2agpg140[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPG141tipp	2 Acyl sn glycero 3 phosphoglycerol n C141 transporter via facilitated diffusion periplasm 	2agpg141[p] --> 2agpg141[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPG160tipp	2 Acyl sn glycero 3 phosphoglycerol n C160 transporter via facilitated diffusion periplasm 	2agpg160[p] --> 2agpg160[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPG161tipp	2 Acyl sn glycero 3 phosphoglycerol n C161 transporter via facilitated diffusion periplasm 	2agpg161[p] --> 2agpg161[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPG180tipp	2 Acyl sn glycero 3 phosphoglycerol n C180 transporter via facilitated diffusion periplasm 	2agpg180[p] --> 2agpg180[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPG181tipp	2 Acyl sn glycero 3 phosphoglycerol n C181 transporter via facilitated diffusion periplasm 	2agpg181[p] --> 2agpg181[c] 	STM3009	STM3009	Transport Inner Membrane	0	0	1000
2AGPGAT120	2 acyl glycerophospho glycerol acyltransferase n C120 	2agpg120[c] + atp[c] + ddca[c] --> amp[c] + pg120[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPGAT140	2 acyl glycerophospho glycerol acyltransferase n C140 	2agpg140[c] + atp[c] + ttdca[c] --> amp[c] + pg140[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPGAT141	2 acyl glycerophospho glycerol acyltransferase n C141 	2agpg141[c] + atp[c] + ttdcea[c] --> amp[c] + pg141[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPGAT160	2 acyl glycerophospho glycerol acyltransferase n C160 	2agpg160[c] + atp[c] + hdca[c] --> amp[c] + pg160[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPGAT161	2 acyl glycerophospho glycerol acyltransferase n C161 	2agpg161[c] + atp[c] + hdcea[c] --> amp[c] + pg161[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPGAT180	2 acyl glycerophospho glycerol acyltransferase n C180 	2agpg180[c] + atp[c] + ocdca[c] --> amp[c] + pg180[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2AGPGAT181	2 acyl glycerophospho glycerol acyltransferase n C181 	2agpg181[c] + atp[c] + ocdcea[c] --> amp[c] + pg181[c] + ppi[c] 	STM3010	STM3010	Glycerophospholipid Metabolism	0	0	1000
2DGLCNRx	2 dehydro D gluconate reductase NADH 	2dhglcn[c] + h[c] + nadh[c] --> glcn[c] + nad[c] 	STM3646	STM3646	Alternate Carbon Metabolism	0	0	1000
2DGLCNRy	2 dehydro D gluconate reductase NADPH 	2dhglcn[c] + h[c] + nadph[c] --> glcn[c] + nadp[c] 	STM3646	STM3646	Alternate Carbon Metabolism	0	0	1000
2DGULRx	2 dehydro L gulonate reductase NADH 	2dhguln[c] + h[c] + nadh[c] --> idon-L[c] + nad[c] 	STM3646	STM3646	Alternate Carbon Metabolism	0	0	1000
2DGULRy	2 dehydro L gulonate reductase NADPH 	2dhguln[c] + h[c] + nadph[c] --> idon-L[c] + nadp[c] 	STM3646	STM3646	Alternate Carbon Metabolism	0	0	1000
2HH24DDH	2hh24dd hydratase	2hh24dd[c] + h2o[c] --> 4h2kpi[c] 	STM1105	STM1105	4 hydroxyphenylacetate catabolism	0	0	1000
2HH24DDH1	2hh24dd hydratase	2hh24dd[c] + h2o[c] --> 24dhhed[c] 	STM1105	STM1105	Alternate Carbon Metabolism	0	0	1000
2INSD	2-Inosose dehydratase	2ins[c] --> h2o[c] + dkdi[c] 	STM4424.S	STM4424.S	Alternate Carbon Metabolism	0	0	1000
2MAHMP	2 Methyl 4 amino 5 hydroxymethylpyrimidine diphosphatase	2mahmp[c] + h2o[c] --> 4ampm[c] + h[c] + pi[c] 	( STM0457  or  STM1235 )	STM0457 STM1235	Cofactor and Prosthetic Group Biosynthesis	0	0	1000
2PGt6pp	D Glycerate 2 phosphate phosphate antiporter periplasm 	2pg[p] + pi[c] --> 2pg[c] + pi[p] 	STM2399	STM2399	Transport Inner Membrane	0	0	1000
