Gene	Alias	BRecon Gene function	JCVI Common Name	Primary Common Name	Primary Enzyme Commission #	JCVI 5' End	JCVI 3' End	JCVI  Sequence Length	JCVI  Protein Length	UniProt Accession	GenBank ID	GO Term
STM0002	thrA		aspartokinase I/homoserine dehydrogenase, threonine-sensitive	aspartokinase I , bifunctional enxyme N-terminal is	2.7.2.4	337	2799	2463	820	Q8ZS19	AAL18966.1	GO:0004072
STM0003	thrB		homoserine kinase	homoserine kinase	2.7.1.39	2801	3730	930	309	P65226	AAL18967.1	GO:0004413
STM0004	thrC		threonine synthase	threonine synthase	4.2.99.2	3734	5020	1287	428	Q8ZS18	AAL18968.1	GO:0004795
STM0006	no		sodium/alanine symporter	putative AGCS family, alanine/glycine transport protein	No Data	7396	5966	1431	476	Q8ZS16	AAL18970.1	GO:0015655
STM0007	talB		transaldolase	transaldolase B	2.2.1.2	7596	8618	1023	340	P66955	AAL18971.1	GO:0004801
STM0039	nhaA		Na+/H+ antiporter NhaA	NhaA familiy of transport protein, Na+/H antiporter	No Data	46271	47356	1086	361	Q8ZRZ3	AAL19003.1	GO:0006814
STM0042	xylP	xylose-proton symporter	putative sodium galactoside symporter	putative sodium galactoside symporter	No Data	51824	50451	1374	457	Q8ZRZ1	AAL19006.1	No Data
STM0045	ribF		riboflavin biosynthesis protein RibF	flavokinase and FAD synthetase	2.7.7.2	52872	53810	939	312	Q7CR93	AAL19009.1	GO:0003919
STM0046	ileS		isoleucyl-tRNA synthetase	isoleucine tRNA synthetase	6.1.1.5	53819	56689	2871	956	Q8ZRZ0	AAL19010.1	GO:0004822
STM0047	lspA		signal peptidase II	prolipoprotein signal peptidase (SPase II)	3.4.23.36	56689	57189	501	166	Q8ZRY9	AAL19011.1	GO:0004190
STM0049	lytB		hydroxymethylbutenyl pyrophosphate reductase	regulates the activity of guanosine 3,5-bispyrophosphate synthetase	No Data	57796	58746	951	316	P58679	AAL19013.1	GO:0015968
STM0051	rihC		inosine-uridine preferring nucleoside hydrolase	putative purine nucleoside hydrolase	No Data	60164	61084	921	306	Q8ZRY7	AAL19015.1	No Data
STM0054	oadB	putative oxalacetate decarboxylase, subunit beta	oxaloacetate decarboxylase beta chain	putative oxalacetate decarboxylase, subunit beta	4.1.1.3	64849	63548	1302	433	Q8ZRY4	AAL19018.1	No Data
STM0055	oadA	putative oxalacetate decarboxylase, subunit alpha	oxaloacetate decarboxylase alpha subunit	putative oxalacetate decarboxylase, subunit alpha	4.1.1.3	66637	64862	1776	591	Q03030	AAL19019.1	GO:0006814
STM0056	oadG-1	putative oxalacetate decarboxylase, subunit gamma	oxaloacetate decarboxylase gamma chain	putative oxalacetate decarboxylase, subunit gamma	No Data	66893	66654	240	79	P58651	AAL19020.1	GO:0006814
STM0057	citS	citrate-sodium symporter	citrate-sodium symport	putative citrate-sodium symport	No Data	68317	67052	1266	421	P0A2F8	AAL19021.1	No Data
STM0059	citD	citrate lyase acyl carrier protein (gamma chain)	citrate lyase acyl carrier protein	putative citrate lyase acyl carrier protein (gamma	No Data	69710	70003	294	97	Q7CR91	AAL19023.1	GO:0006113
STM0060	citE	citrate lyase beta chain (acyl lyase subunit)	citrate lyase, beta subunit	putative citrate lyase beta chain (acyl lyase	4.1.3.6	70000	70869	870	289	Q8ZRY2	AAL19024.1	GO:0006113
STM0061	citF	putativ bifunctional citrate lyase alpha chain/citrate-ACP transferase	citrate lyase, alpha subunit	putativ bifunctional citrate lyase alpha chain/citrate-ACP transferase	No Data	70880	72400	1521	506	Q8ZRY1	AAL19025.1	GO:0006113
STM0064	dapB		dihydrodipicolinate reductase	dihydrodipicolinate reductase	1.3.1.26	74065	74838	774	257	Q8ZRX8	AAL19028.1	GO:0008839
STM0066	carA		carbamoyl-phosphate synthase, small subunit	carbamoyl-phosphate synthetase, glutamine-hydrolysing small subunit	6.3.5.5	75880	77028	1149	382	P14845	AAL19030.1	GO:0004088
STM0067	carB		carbamoyl-phosphate synthase, large subunit	carbamoyl-phosphate synthase, large subunit	6.3.5.5	77047	80274	3228	1075	P14846	AAL19031.1	GO:0004088
