Protein Accession No	Gene	Protein Description	Protein Mr	uninfected mouse 	Group 1	Group 2	Group 3	Group 1/Group2	Group 1/Group 3	Group 2/Group 3
SL1344_0002	thrA 	SL1344_0002 aspartokinase I/homoserine dehydrogenase I 337:2799 forward MW:88696	88639	0.41469%	0.3243%	47.3150%	27.1270%	0	-8.2526654325	-8.2526654325
SL1344_0003	thrB 	SL1344_0003 Homoserine kinase 2801:3730 forward MW:33286	33265	0.00000%	0.00000%	0.00000%	0.00305%	0	0	0
SL1344_0004	thrC 	SL1344_0004 threonine synthase 3734:5020 forward MW:46988	46958	0.00000%	0.00000%	0.00000%	0.00000%	-6.3944626946	-6.0901124197	0.3043502749
SL1344_0005	yaaA 	SL1344_0005 conserved hypothetical protein 5114:5887 reverse MW:29764	29745	0.00000%	0.00008%	0.00673%	0.00545%	0	-6.3750394313	-6.3750394313
SL1344_0007	talB 	SL1344_0007 transaldolase B 7665:8618 forward MW:35171	35149	0.00000%	0.00000%	0.00000%	0.00083%	-6.3352627334	-5.7403108263	0.5949519071
SL1344_0008	mog 	SL1344_0008 molybdopterin biosynthesis Mog protein 8729:9319 forward MW:21363	21350	0.00000%	0.00070%	0.05652%	0.03742%	0	0	0
SL1344_0009	yaaH 	SL1344_0009 conserved hypothetical protein 9376:9942 reverse MW:19933	19921	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0012	dnaK 	SL1344_0012 Chaperone protein dnaK 11593:13509 forward MW:69258	69216	0.00000%	0.00000%	0.00000%	0.00000%	-8.5887792421	-8.0498485495	0.5389306926
SL1344_0013	dnaJ 	SL1344_0013 DnaJ protein 13595:14734 forward MW:41313	41287	0.00000%	0.00116%	0.44662%	0.30740%	-8.4008794363	-8.17990909	0.2209703463
SL1344_0040	nhaA 	SL1344_0040 Na(+)/H(+) antiporter 1 46190:47356 forward MW:41351	41324	0.00000%	0.00000%	0.00338%	0.00290%	0	0	0
SL1344_0041	nhaR 	SL1344_0041 transcriptional activator protein NhaR 47418:48317 forward MW:33998	33976	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0044	rpsT 	SL1344_0044 30S ribosomal protein S20 52280:52543 reverse MW:9655	9649	0.00000%	0.00000%	0.00000%	0.00000%	-3.8028394409	-6.4232209824	-2.6203815415
SL1344_0046	ribF 	SL1344_0046 riboflavin biosynthesis protein RibF 52872:53810 forward MW:34271	34249	0.00000%	0.00160%	0.02233%	0.13731%	0	0	0
SL1344_0047	ileS 	SL1344_0047 isoleucyl-tRNA synthetase 53855:56689 forward MW:105703	105635	0.00000%	0.00000%	0.00000%	0.00000%	-10.342074668	-11.0828143377	-0.7407396697
SL1344_0048	lspA 	SL1344_0048 lipoprotein signal peptidase 56689:57189 forward MW:18338	18327	0.00000%	0.00000%	0.01298%	0.02169%	0	0	0
SL1344_0049	fkpB 	SL1344_0049 probable FkbB-type 16 kD peptidyl-prolyl cis- trans isomerase 57344:57793 forward MW:16093	16083	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0050	ispH 	SL1344_0050 LytB protein 57796:58746 forward MW:34527	34506	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0052	rihC 	SL1344_0052 hypothetical nucleoside hydrolase (IUNH family) 60164:61084 forward MW:33122	33101	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_0053	citB 	SL1344_0053 transcriptional regulatory protein citb 61106:61792 reverse MW:25996	25980	0.00000%	0.00000%	0.00000%	0.00042%	0	0	0
SL1344_0065	dapB 	SL1344_0065 dihydrodipicolinate reductase 74020:74841 forward MW:28851	28833	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3219280949	-5.3219280949
SL1344_0067	carA 	SL1344_0067 carbamoyl-phosphate synthase small chain 75883:77031 forward MW:41651	41625	0.00000%	0.00000%	0.00000%	0.00040%	0	-8.475733431	-8.475733431
SL1344_0068	carB 	SL1344_0068 carbamoyl-phosphate synthase large chain 77050:80277 forward MW:118140	118064	0.00000%	0.00000%	0.00000%	0.00356%	0	-10.5849625007	-10.5849625007
SL1344_0069	caiF 	SL1344_0069 transcriptional activator CaiF 80551:80946 forward MW:15409	15399	0.00000%	0.00000%	0.00000%	0.01536%	0	0	0
SL1344_0071	caiD 	SL1344_0071 carnitine racemase 81728:82513 reverse MW:28106	28088	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0081	0	SL1344_0081 hypothetical lipoprotein 93610:93840 forward MW:8217	8212	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0082	0	SL1344_0082 probable secreted protein 94134:94550 forward MW:15409	15400	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0083	0	SL1344_0083 probable secreted protein 94774:95064 reverse MW:10302	10296	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.4178525149	-7.4178525149
SL1344_0088	folA 	SL1344_0088 dihydrofolate reductase type I 100842:101321 forward MW:17998	17987	0.00000%	0.00000%	0.00000%	0.00171%	0	0	0
SL1344_0089	apaH 	SL1344_0089 bis(5~-nucleosyl)-tetraphosphatase 101427:102275 reverse MW:31431	31411	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0090	apaG 	SL1344_0090 CorD protein 102286:102663 reverse MW:13923	13915	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0091	ksgA 	SL1344_0091 dimethyladenosine transferase 102666:103487 reverse MW:30516	30497	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.2854022189	-5.2854022189
SL1344_0092	pdxA 	SL1344_0092 pyridoxal phosphate biosynthetic protein PdxA 103484:104473 reverse MW:34805	34783	0.00000%	0.00000%	0.00000%	0.00039%	0	-5.3219280949	-5.3219280949
SL1344_0093	surA 	SL1344_0093 survival protein SurA precursor 104473:105759 reverse MW:47251	47221	0.00000%	0.00000%	0.00000%	0.00040%	-10.8439210513	-10.6293566201	0.2145644312
SL1344_0094	imp 	SL1344_0094 organic solvent tolerance protein precursor 105813:108173 reverse MW:89823	89766	0.00000%	0.00000%	0.01838%	0.01584%	-8.1085244568	-10.1318569606	-2.0233325038
SL1344_0095	djlA 	SL1344_0095 DnaJ-like protein 108427:109239 forward MW:30583	30563	0.00000%	0.00000%	0.00276%	0.01122%	0	0	0
SL1344_0097	hepA 	SL1344_0097 probable ATP-dependent helicase HepA 110005:112911 reverse MW:109866	109797	0.00000%	0.00000%	0.00000%	0.00000%	-8.3966047812	-7.7142455177	0.6823592635
SL1344_0098	polB 	SL1344_0098 DNA polymerase II 113085:115436 reverse MW:89993	89936	0.00000%	0.00000%	0.00337%	0.00210%	0	0	0
SL1344_0104	araC 	SL1344_0104 arabinose operon regulatory protein 121643:122488 forward MW:32070	32050	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0108	tbpA 	SL1344_0108 thiamine-binding periplasmic protein precursor 125690:126673 reverse MW:36263	36241	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_0110	leuD 	SL1344_0110 3-isopropylmalate dehydratase small subunit 129060:129665 reverse MW:22506	22492	0.00000%	0.00000%	0.00000%	0.00042%	0	0	0
SL1344_0111	leuC 	SL1344_0111 3-isopropylmalate dehydratase large subunit 129676:131076 reverse MW:49786	49754	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_0112	leuB 	SL1344_0112 3-isopropylmalate dehydrogenase 131079:132170 reverse MW:39513	39488	0.00000%	0.00000%	0.00000%	0.00000%	-8.3398500029	0	8.3398500029
SL1344_0113	leuA 	SL1344_0113 2-isopropylmalate synthase 132170:133741 reverse MW:57431	57395	0.00000%	0.00000%	0.00324%	0.00000%	0	-5.2094533656	-5.2094533656
SL1344_0116	ilvI 	SL1344_0116 acetolactate synthase isozyme III large subunit 135901:137562 forward MW:60625	60586	0.00000%	0.00000%	0.00000%	0.00037%	0	-6.4093909361	-6.4093909361
SL1344_0117	ilvH 	SL1344_0117 acetolactate synthase isozyme III small subunit 137565:138056 forward MW:18063	18052	0.00000%	0.00000%	0.00000%	0.00085%	0	0	0
SL1344_0118	fruR 	SL1344_0118 fructose repressor 138340:139344 forward MW:38041	38018	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.8948177633	-7.8948177633
SL1344_0119	mraZ 	SL1344_0119 conserved hypothetical protein. 139950:140408 forward MW:17435	17424	0.00000%	0.00000%	0.00000%	0.00238%	0	0	0
SL1344_0120	mraW 	SL1344_0120 S-adenosyl-methyltransferase 140410:141351 forward MW:34776	34754	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.0552824355	-7.0552824355
SL1344_0121	ftsL 	SL1344_0121 cell division protein FtsL 141348:141713 forward MW:13586	13577	0.00000%	0.00000%	0.00000%	0.00133%	0	0	0
SL1344_0122	ftsI 	SL1344_0122 penicillin-binding protein 3 precursor 141729:143495 forward MW:63846	63805	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.3398500029	-6.3398500029
SL1344_0123	murE 	SL1344_0123 UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-di a minopimelate ligase 143482:144969 forward MW:53287	53253	0.00000%	0.00000%	0.00000%	0.00081%	-8.3531468255	-6.3398500029	2.0132968226
SL1344_0124	murF 	SL1344_0124 UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diam i nopimelate--D-alan alanyl ligase 144966:146324 forward MW:47533	47504	0.00000%	0.00000%	0.00327%	0.00081%	0	-6.9886846868	-6.9886846868
SL1344_0125	mraY 	SL1344_0125 Phospho-N-acetylmuramoyl-pentapeptide-transfera se 146318:147400 forward MW:40023	39997	0.00000%	0.00000%	0.00000%	0.00127%	0	0	0
SL1344_0126	murD 	SL1344_0126 UDP-N-acetylmuramoylalanine--D-glutamate ligase 147403:148719 forward MW:46998	46968	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_0128	murG 	SL1344_0128 UDP-N-acetylglucosamine--N-acetylmuramyl- 149960:151027 forward MW:37863	37839	0.00000%	0.00000%	0.00000%	0.00042%	0	-7.022367813	-7.022367813
