Locus	Gene	Product	Group1_replicate 1	Group1_replicate 2	Group1_replicate 3	Group2_replicate 1	Group2_replicate 2	Group2_replicate 3	Group3_replicate 1	Group3_replicate 2	Group3_replicate 3	Input_ replicate 1	Input_replicate 2
FQ312003.1012	FQ312003.1012	FQ312003.1012	3	4	2	6	1	0	0	6	7	61	105
FQ312003.1187	FQ312003.1187	FQ312003.1187	8	9	0	8	4	4	0	0	10	1025	793
FQ312003.1229	FQ312003.1229	FQ312003.1229	0	0	2	1	0	0	0	4	5	119	128
FQ312003.1320	FQ312003.1320	FQ312003.1320	2	0	0	0	0	0	0	0	2	75	41
FQ312003.1463	FQ312003.1463	FQ312003.1463	6	4	0	0	0	2	2	0	0	259	165
FQ312003.1509	FQ312003.1509	FQ312003.1509	0	3	0	0	0	0	2	0	4	31	47
FQ312003.1526	FQ312003.1526	FQ312003.1526	6	0	0	2	0	0	0	3	22	583	819
FQ312003.160	FQ312003.160	FQ312003.160	14	2	2	2	4	4	4	1	2	392	593
FQ312003.1627	FQ312003.1627	FQ312003.1627	1	2	0	0	0	0	0	0	2	91	58
FQ312003.1815	FQ312003.1815	FQ312003.1815	1	2	0	1	1	2	0	0	2	336	210
FQ312003.1816	FQ312003.1816	FQ312003.1816	3	2	2	5	2	10	0	4	9	1246	1246
FQ312003.1817	FQ312003.1817	FQ312003.1817	12	0	0	0	5	0	4	0	3	249	255
FQ312003.1857	FQ312003.1857	FQ312003.1857	4	4	0	2	0	0	2	0	3	656	331
FQ312003.1858	FQ312003.1858	FQ312003.1858	7	0	0	0	0	0	2	0	3	34	22
FQ312003.1902	FQ312003.1902	FQ312003.1902	3	0	0	0	0	0	2	1	0	76	50
FQ312003.2526	FQ312003.2526	FQ312003.2526	158	18	0	2	7	4	4	18	34	920	1260
FQ312003.2779	FQ312003.2779	FQ312003.2779	2	2	0	3	0	0	4	2	8	46	56
FQ312003.2802	FQ312003.2802	FQ312003.2802	16	2	2	6	4	0	4	4	17	3451	2634
FQ312003.2803	FQ312003.2803	FQ312003.2803	10	0	0	0	0	0	2	0	2	41	43
FQ312003.2944	FQ312003.2944	FQ312003.2944	1	0	0	0	2	0	2	0	2	71	108
FQ312003.298	FQ312003.298	FQ312003.298	2	0	0	0	0	0	0	0	4	158	152
FQ312003.300	FQ312003.300	FQ312003.300	0	2	0	0	0	0	0	0	4	57	89
FQ312003.302	FQ312003.302	FQ312003.302	0	2	0	0	0	0	0	0	0	14	3
FQ312003.318	FQ312003.318	FQ312003.318	7	5	0	0	2	0	1	0	4	19	49
FQ312003.329	FQ312003.329	FQ312003.329	4	2	0	0	0	0	2	0	1	98	129
FQ312003.3325	FQ312003.3325	FQ312003.3325	10	2	2	2	4	4	2	2	12	4395	4512
FQ312003.3576	FQ312003.3576	FQ312003.3576	14	3	0	6	1	0	0	2	4	210	606
FQ312003.3676	FQ312003.3676	FQ312003.3676	3	0	0	0	0	0	1	1	0	351	204
FQ312003.3689	FQ312003.3689	FQ312003.3689	4	0	0	6	1	6	4	2	7	4102	2380
FQ312003.3806	FQ312003.3806	FQ312003.3806	4	3	0	0	0	0	2	0	4	85	131
FQ312003.3827	FQ312003.3827	FQ312003.3827	24	8	0	0	0	0	6	0	4	100	120
FQ312003.3896	FQ312003.3896	FQ312003.3896	2	2	0	2	2	0	2	0	8	500	228
FQ312003.3939	FQ312003.3939	FQ312003.3939	29	6	0	0	1	4	10	0	11	523	707
FQ312003.3994	FQ312003.3994	FQ312003.3994	0	0	0	0	0	0	1	0	2	180	185
FQ312003.4083	FQ312003.4083	FQ312003.4083	14	4	6	30	24	16	6	46	42	4784	7564
FQ312003.4330	FQ312003.4330	FQ312003.4330	1	4	0	2	2	2	4	2	6	340	303
FQ312003.4416	FQ312003.4416	FQ312003.4416	0	0	0	0	0	0	0	0	0	7	8
FQ312003.4483	FQ312003.4483	FQ312003.4483	1	0	1	0	0	2	2	0	0	157	119
FQ312003.4499	FQ312003.4499	FQ312003.4499	12	6	4	2	4	7	0	2	1	55	61
FQ312003.4543	FQ312003.4543	FQ312003.4543	1	2	0	0	0	0	0	0	1	55	74
FQ312003.4561	FQ312003.4561	FQ312003.4561	2	1	0	3	0	2	1	2	0	467	425
FQ312003.4643	FQ312003.4643	FQ312003.4643	6	0	2	0	6	0	0	2	6	270	270
FQ312003.655	FQ312003.655	FQ312003.655	4	2	0	0	2	0	2	0	6	46	35
FQ312003.67	FQ312003.67	FQ312003.67	4	1	0	0	1	0	7	0	2	39	33
FQ312003.716	FQ312003.716	FQ312003.716	5	0	0	0	0	1	0	0	2	45	15
FQ312003.74	FQ312003.74	FQ312003.74	9	2	0	0	0	2	8	4	1	493	307
FQ312003.869	FQ312003.869	FQ312003.869	1	1	0	0	4	0	0	4	1	88	234
FQ312003_intergenic_1_118	FQ312003_intergenic_1_118	FQ312003_intergenic_1_118	2	2	2	2	0	0	0	2	0	305	365
FQ312003_intergenic_1000151_1000308	FQ312003_intergenic_1000151_1000308	FQ312003_intergenic_1000151_1000308	3	1	0	3	3	2	0	2	7	1805	2060
FQ312003_intergenic_1001702_1001837	FQ312003_intergenic_1001702_1001837	FQ312003_intergenic_1001702_1001837	2	0	0	0	1	2	0	0	2	1703	662
FQ312003_intergenic_1005876_1006124	FQ312003_intergenic_1005876_1006124	FQ312003_intergenic_1005876_1006124	2	4	0	1	0	0	0	0	8	880	678
FQ312003_intergenic_100694_100791	FQ312003_intergenic_100694_100791	FQ312003_intergenic_100694_100791	2	4	0	0	0	0	0	0	1	37	49
FQ312003_intergenic_1007374_1007490	FQ312003_intergenic_1007374_1007490	FQ312003_intergenic_1007374_1007490	4	2	0	0	3	0	0	4	4	144	93
FQ312003_intergenic_1009013_1009204	FQ312003_intergenic_1009013_1009204	FQ312003_intergenic_1009013_1009204	0	0	0	0	1	0	0	0	0	21	55
FQ312003_intergenic_1010548_1010577	FQ312003_intergenic_1010548_1010577	FQ312003_intergenic_1010548_1010577	0	5	1	7	3	5	0	8	16	352	186
FQ312003_intergenic_1014913_1015216	FQ312003_intergenic_1014913_1015216	FQ312003_intergenic_1014913_1015216	2	1	0	3	0	0	0	6	4	959	792
FQ312003_intergenic_1017078_1017113	FQ312003_intergenic_1017078_1017113	FQ312003_intergenic_1017078_1017113	1	0	0	0	1	0	1	0	0	3	1
FQ312003_intergenic_1017907_1017991	FQ312003_intergenic_1017907_1017991	FQ312003_intergenic_1017907_1017991	1	1	0	0	0	0	2	0	0	61	111
FQ312003_intergenic_1020535_1020576	FQ312003_intergenic_1020535_1020576	FQ312003_intergenic_1020535_1020576	1	1	0	0	0	0	0	0	0	27	13
FQ312003_intergenic_1021439_1021510	FQ312003_intergenic_1021439_1021510	FQ312003_intergenic_1021439_1021510	1	0	0	0	0	0	1	0	0	25	7
